{'timestamp': 1759261992.7560146, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.769082, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.7939131, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.8326788, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.8587165, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.8785439, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9079988, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9179358, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9381816, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9481866, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9588883, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.9857705, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.008464, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.0229306, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.0429406, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.0662699, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.0790808, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.0887914, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.1137447, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.1406734, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.163061, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.1851041, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.1974125, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.2082217, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.2330947, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.2530804, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.265697, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.2782445, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.3010867, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.3252695, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.3361478, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.3504634, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.373081, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.3921065, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.4073422, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.4308777, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.4444487, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.4750767, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.4957006, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.5141509, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.5307503, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.5407472, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.5600004, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.569799, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.5901957, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.6042736, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.6286583, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.6441696, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.664057, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.6736841, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.6895065, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.7090783, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.7250764, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.7348053, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.7598758, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.769746, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.7905405, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.8009768, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.8119314, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.8333118, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.851792, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.8655336, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.8754578, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.9051156, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.9211006, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.9309087, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.9410777, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.952883, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.977139, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261993.996465, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261994.0065484, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.0291553, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.0451355, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.061272, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.071143, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.0957966, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.121137, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.132667, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.1558652, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.1655087, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.1861446, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.209095, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.229079, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.2471292, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.2568388, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.2890842, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.2994695, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.320323, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.3379993, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.3558574, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.3654966, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.3869038, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4088218, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4214666, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4412603, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4535432, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4770808, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.4970803, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.5097208, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.5211616, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.5410595, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.5612285, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.579004, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.588806, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.6051059, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.6250613, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.637317, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
